item_id,module,category,description,quantity,unit,revision / specification,required_or_optional,make_or_buy,supplier,supplier_id,source_file_or_url,notes
CMP-ENC-FOOT,enclosure,purchased component,adhesive rubber/polyurethane feet,na,as needed,Ø11.2 × 5.1 mm self-adhesive polyurethane,optional,buy,RS,3M SJ5003,https://fr.rs-online.com/web/p/patins-antiderapants/0236464?searchId=ca43fa3f-c870-4d31-a567-0cb13fa2f0bd,
PRT-ENC-001,enclosure,laser-cut part,enclosure base plate,1,each,"10 mm acrylic glass (PMMA) color black, 380mm x380mm",required,make,CINDAR,101 48000 - 10mm,V3/ enclosure_wall_V3/basePlate_10mm,https://www.plexi-cindar.com/plexiglass-opaque/475-plexiglas-noir-opaque-altuglas-elegant-10mm.html
PRT-ENC-002,enclosure,3D-printed part,enclosure support pillar,4,each,"Black, PLA, 0.4mm ",required,make,Any black PLA filament ,na,file to path + name of file + extension,
PRT-ENC-003,enclosure,laser-cut part,"feeder wall panel, layer 1",1,each,"3mm, color satin black,  PMMA",required,make,CINDAR,486,file to path + name of file + extension,https://www.plexi-cindar.com/plexiglass-opaque/486-plexiglass-pmma-coule-noir-mat-3-mm-qualite-superieure.html 
PRT-ENC-004,enclosure,laser-cut part,"feeder wall panel, layer 2",1,each,"3mm, color satin black,  PMMA",required,make,CINDAR,486,file to path + name of file + extension,https://www.plexi-cindar.com/plexiglass-opaque/486-plexiglass-pmma-coule-noir-mat-3-mm-qualite-superieure.html 
PRT-ENC-005,enclosure,laser-cut part,"screen wall panel, layer 1",1,each,"3mm, color satin black,  PMMA",required,make,CINDAR,486,file to path + name of file + extension,https://www.plexi-cindar.com/plexiglass-opaque/486-plexiglass-pmma-coule-noir-mat-3-mm-qualite-superieure.html 
PRT-ENC-006,enclosure,laser-cut part,"screen wall panel, layer 2",1,each,"3mm, color satin black,  PMMA",required,make,CINDAR,486,file to path + name of file + extension,https://www.plexi-cindar.com/plexiglass-opaque/486-plexiglass-pmma-coule-noir-mat-3-mm-qualite-superieure.html 
PRT-ENC-007,enclosure,laser-cut part,"master-module wall panel, layer 1",1,each,"3mm, color satin black,  PMMA",required,make,CINDAR,486,file to path + name of file + extension,https://www.plexi-cindar.com/plexiglass-opaque/486-plexiglass-pmma-coule-noir-mat-3-mm-qualite-superieure.html 
PRT-ENC-008,enclosure,laser-cut part,"master-module wall panel, layer 2",1,each,"3mm, color satin black,  PMMA",required,make,CINDAR,486,file to path + name of file + extension,https://www.plexi-cindar.com/plexiglass-opaque/486-plexiglass-pmma-coule-noir-mat-3-mm-qualite-superieure.html 
PRT-ENC-009,enclosure,laser-cut part,"door wall panel, layer 1",1,each,"3mm, color satin black,  PMMA",required,make,CINDAR,486,file to path + name of file + extension,https://www.plexi-cindar.com/plexiglass-opaque/486-plexiglass-pmma-coule-noir-mat-3-mm-qualite-superieure.html 
PRT-ENC-010,enclosure,laser-cut part,"door wall panel, layer 2",1,each,"3mm, color satin black,  PMMA",required,make,CINDAR,486,file to path + name of file + extension,https://www.plexi-cindar.com/plexiglass-opaque/486-plexiglass-pmma-coule-noir-mat-3-mm-qualite-superieure.html 
PRT-ENC-011,enclosure,laser-cut part,enclosure door panel,1,each,"3mm, color satin black,  PMMA",required,make,CINDAR,486,file to path + name of file + extension,https://www.plexi-cindar.com/plexiglass-opaque/486-plexiglass-pmma-coule-noir-mat-3-mm-qualite-superieure.html 
PRT-ENC-012,enclosure,laser-cut part,door locking element,1,each,"3mm, color satin black,  PMMA",required,make,CINDAR,486,file to path + name of file + extension,https://www.plexi-cindar.com/plexiglass-opaque/486-plexiglass-pmma-coule-noir-mat-3-mm-qualite-superieure.html 
PRT-ENC-013,enclosure,3D-printed part,enclosure door button,1,each,"Black, PLA, 0.4mm",required,make,Any black PLA filament ?,na,file to path + name of file + extension,
PRT-ENC-014,enclosure,laser-cut part,clear enclosure top panel,1,each," mm?, clear, PPMA",required,make,CINDAR,na,file to path + name of file + extension,
FST-NUT-M5-HEX,enclosure,fastening hardware,M5 hex nut,8,each,stainless steel,required,buy,RS,189-585,https://fr.rs-online.com/web/p/vis-a-six-pans/0293369,
FST-M5X50,enclosure,fastening hardware,M5 × 50 mm socket-head cap screw,12,each,stainless steel,required,buy,RS,4680048,https://befr.rs-online.com/web/p/socket-screws/4680048,
FST-M3X8,enclosure,fastening hardware,M3 × 8 mm hex-socket button screw,16,each,stainless steel,required,buy,RS,483-9543,https://befr.rs-online.com/web/p/socket-screws/4839543,
